city,userid,day,hour,tracks,artists,genres
shelbyville,11057DEB,friday,9,1,1,1
shelbyville,111C5DFF,friday,13,1,1,1
shelbyville,111C5DFF,friday,20,1,1,1
shelbyville,111C5DFF,friday,21,1,1,1
shelbyville,1126C85,wednesday,21,1,1,1
shelbyville,1133EFB1,friday,8,1,1,1
shelbyville,11341BD5,monday,9,1,1,1
shelbyville,11341BD5,monday,20,1,1,1
shelbyville,113992BA,wednesday,20,1,1,1
shelbyville,113D3253,friday,9,1,1,1
shelbyville,11416A53,wednesday,9,1,1,1
shelbyville,1143AFA4,monday,8,1,1,1
shelbyville,1143AFA4,monday,21,1,1,1
shelbyville,1144BB8,friday,13,2,2,2
shelbyville,114958C3,friday,21,2,2,2
shelbyville,114ADB,friday,21,1,1,1
shelbyville,114ADB,monday,8,1,1,1
shelbyville,114ADB,monday,14,1,1,1
shelbyville,114DD0CC,wednesday,8,1,1,1
shelbyville,114EF755,monday,13,1,1,1
shelbyville,115167C2,wednesday,8,1,1,1
shelbyville,115B8EDE,wednesday,21,1,1,1
shelbyville,115EFF58,monday,20,1,1,1
shelbyville,115FD7DB,monday,8,1,1,1
shelbyville,115FDC0E,friday,20,1,1,1
shelbyville,11656BF,monday,9,1,1,1
shelbyville,116815B5,friday,13,1,1,1
shelbyville,1168EFC4,wednesday,14,1,1,1
shelbyville,116D0A60,wednesday,9,1,1,1
shelbyville,117E7BFE,wednesday,8,1,1,1
shelbyville,118023A3,friday,20,1,1,1
shelbyville,1184ADB7,wednesday,20,1,1,1
shelbyville,1184ADB7,wednesday,21,1,1,1
shelbyville,11878B48,wednesday,8,1,1,1
shelbyville,1189FBD9,wednesday,9,1,1,1
shelbyville,118D04A7,friday,14,1,1,1
shelbyville,1197E169,friday,8,1,1,1
shelbyville,11A4A4C2,wednesday,13,1,1,1
shelbyville,11A7375E,friday,20,1,1,1
shelbyville,11AABD6F,monday,21,1,1,1
shelbyville,11B2FB9,wednesday,8,1,1,1
shelbyville,11B43A91,wednesday,14,1,1,1
shelbyville,11B76792,wednesday,14,1,1,1
shelbyville,11C27783,wednesday,8,1,1,1
shelbyville,11C36FF1,monday,8,1,1,1
shelbyville,11C475C1,wednesday,13,1,1,1
shelbyville,11C8117C,friday,14,1,1,1
shelbyville,11D078A5,monday,21,1,1,1
shelbyville,11D15EB0,monday,13,1,1,1
shelbyville,11D3698F,friday,14,3,3,3
shelbyville,11D6B5D6,friday,20,1,1,1
shelbyville,11D708B5,friday,9,1,1,1
shelbyville,11DE2A8F,friday,13,1,1,1
shelbyville,11DEDDA9,friday,14,1,1,1
shelbyville,11DEDDA9,monday,21,1,1,1
shelbyville,11DFAF08,wednesday,13,1,1,1
shelbyville,11E829AB,wednesday,14,1,1,1
shelbyville,11FA4472,friday,9,1,1,1
shelbyville,11FA744C,wednesday,20,1,1,1
shelbyville,11FA7C0,monday,13,1,1,1
shelbyville,12047CBB,monday,14,1,1,1
shelbyville,1206160E,monday,21,1,1,1
shelbyville,1208B431,friday,13,1,1,1
shelbyville,120E8D22,friday,14,1,1,1
shelbyville,121A9169,friday,20,1,1,1
shelbyville,1220C8CC,wednesday,21,1,1,1
shelbyville,122531F3,friday,21,1,1,1
shelbyville,122531F3,wednesday,9,1,1,1
shelbyville,12256924,wednesday,20,1,1,1
shelbyville,1226B476,monday,13,1,1,1
shelbyville,1229A3E8,friday,13,1,1,1
shelbyville,122B1CE7,wednesday,20,1,1,1
shelbyville,122E8A7A,friday,8,1,1,1
shelbyville,122E8A7A,monday,8,1,1,1
shelbyville,1230264,friday,13,1,1,1
shelbyville,1230264,friday,21,1,1,1
shelbyville,12329DEF,friday,13,3,3,2
shelbyville,12329DEF,friday,14,3,3,2
shelbyville,1232C67D,friday,13,1,1,1
shelbyville,123753B,friday,14,1,1,1
shelbyville,12381E6F,monday,8,1,1,1
shelbyville,12538878,monday,8,1,1,1
shelbyville,12543BF2,monday,9,1,1,1
shelbyville,125512D3,wednesday,9,1,1,1
shelbyville,125B0834,monday,8,1,1,1
shelbyville,125B5279,friday,8,1,1,1
shelbyville,125D578D,wednesday,9,1,1,1
shelbyville,1260ED3E,wednesday,9,1,1,1
shelbyville,12620F04,wednesday,20,1,1,1
shelbyville,12644350,friday,21,2,2,2
shelbyville,12670960,wednesday,9,1,1,1
shelbyville,1267F51D,friday,20,1,1,1
shelbyville,126D8079,monday,9,1,1,1
shelbyville,126E7CAB,friday,8,1,1,1
shelbyville,127347DF,friday,21,1,1,1
shelbyville,1279A3A3,friday,21,2,2,2
shelbyville,1279BE5A,wednesday,9,1,1,1
shelbyville,127D617A,wednesday,8,1,1,1
shelbyville,127D617A,wednesday,14,1,1,1
shelbyville,1282DF69,wednesday,9,1,1,1
shelbyville,128BA6,wednesday,8,1,1,1
shelbyville,12924752,friday,9,1,1,1
shelbyville,1292E590,friday,13,1,1,1
shelbyville,129445D8,friday,9,1,1,1
shelbyville,129445D8,friday,20,1,1,1
shelbyville,1297028F,friday,13,1,1,1
shelbyville,1298C54B,friday,13,1,1,1
shelbyville,12A20728,monday,21,1,1,1
shelbyville,12A4FFD3,monday,14,2,2,2
shelbyville,12AB8D74,wednesday,14,1,1,1
shelbyville,12B42DFC,monday,20,1,1,1
shelbyville,12C00ABD,wednesday,20,1,1,1
shelbyville,12C02AB1,friday,20,1,1,1
shelbyville,12C063E2,friday,13,1,1,1
shelbyville,12C063E2,monday,14,2,2,2
shelbyville,12C37389,wednesday,13,1,1,1
shelbyville,12C3B57B,monday,14,1,1,1
shelbyville,12C49600,monday,20,1,1,1
shelbyville,12C49600,monday,21,1,1,1
shelbyville,12CAA2B,wednesday,20,1,1,1
shelbyville,12CF502F,wednesday,20,1,1,1
shelbyville,12CF8E5B,friday,20,2,2,2
shelbyville,12D96EAC,monday,14,2,2,2
shelbyville,12E27D1,wednesday,9,2,2,2
shelbyville,12E3BDDC,wednesday,9,1,1,1
shelbyville,12E4B4A4,monday,21,1,1,1
shelbyville,12E4B4A4,wednesday,9,1,1,1
shelbyville,12EA5730,monday,13,1,1,1
shelbyville,12EC07A5,monday,14,1,1,1
shelbyville,12EF45A9,wednesday,13,1,1,1
shelbyville,12F58F04,friday,20,1,1,1
shelbyville,12F5FF42,monday,8,1,1,1
shelbyville,12F92E96,monday,14,1,1,1
shelbyville,12F98E1,wednesday,14,1,1,1
shelbyville,1304C608,friday,13,2,2,2
shelbyville,130DB51F,wednesday,13,1,1,1
shelbyville,1311B9E,monday,14,1,1,1
shelbyville,1312C822,friday,21,1,1,1
shelbyville,1313F2B8,friday,9,1,1,1
shelbyville,1313F2B8,monday,20,1,1,1
shelbyville,1313F2B8,wednesday,9,2,2,2
shelbyville,131A126,monday,21,1,1,1
shelbyville,131AA765,wednesday,13,1,1,1
shelbyville,1320853E,monday,20,1,1,1
shelbyville,1320853E,wednesday,13,1,1,1
shelbyville,132156C5,wednesday,14,1,1,1
shelbyville,132C0E25,friday,14,1,1,1
shelbyville,132DEA93,friday,21,1,1,1
shelbyville,133408D7,friday,9,1,1,1
shelbyville,133653D0,monday,8,1,1,1
shelbyville,133735D9,monday,20,1,1,1
shelbyville,133BFED8,wednesday,14,1,1,1
shelbyville,133E5B87,wednesday,9,1,1,1
shelbyville,13451BB1,monday,13,1,1,1
shelbyville,134C373A,monday,21,1,1,1
shelbyville,13533822,monday,8,1,1,1
shelbyville,13538118,friday,21,1,1,1
shelbyville,1361ED93,wednesday,21,1,1,1
shelbyville,136472B1,friday,9,1,1,1
shelbyville,136913E5,friday,10,1,1,1
shelbyville,136913E5,monday,20,1,1,1
shelbyville,136B1233,friday,9,1,1,1
shelbyville,136B1233,friday,14,1,1,1
shelbyville,13724F1,wednesday,14,1,1,1
shelbyville,13745326,wednesday,8,1,1,1
shelbyville,13745372,wednesday,8,1,1,1
shelbyville,13788492,wednesday,14,1,1,1
shelbyville,13797A44,friday,9,1,1,1
shelbyville,13797A44,monday,9,1,1,1
shelbyville,137FBD1F,friday,20,1,1,1
shelbyville,1380AC31,friday,20,1,1,1
shelbyville,1380AC31,wednesday,21,1,1,1
shelbyville,13860339,wednesday,13,1,1,1
shelbyville,13860339,wednesday,14,1,1,1
shelbyville,1389306B,friday,20,1,1,1
shelbyville,138AE9A5,wednesday,14,1,1,1
shelbyville,138CAC57,friday,20,2,2,2
shelbyville,138F43CB,monday,13,1,1,1
shelbyville,139587B8,friday,14,1,1,1
shelbyville,139AA958,monday,9,1,1,1
shelbyville,139F430B,friday,8,1,1,1
shelbyville,13A1F0E9,wednesday,9,1,1,1
shelbyville,13A4CA4D,friday,20,1,1,1
shelbyville,13AE6462,friday,8,1,1,1
shelbyville,13B22E85,monday,13,1,1,1
shelbyville,13BF2728,monday,8,1,1,1
shelbyville,13BFA7F1,friday,9,1,1,1
shelbyville,13C3E7BF,wednesday,9,1,1,1
shelbyville,13C62FC1,monday,13,1,1,1
shelbyville,13C766E9,friday,8,1,1,1
shelbyville,13E13403,wednesday,21,1,1,1
shelbyville,13EE40F6,wednesday,14,1,1,1
shelbyville,13EF647B,friday,21,4,4,3
shelbyville,13F6A00C,wednesday,20,1,1,1
shelbyville,13FFFA2A,friday,14,1,1,1
shelbyville,1404573E,friday,20,1,1,1
shelbyville,1404573E,wednesday,13,1,1,1
shelbyville,1417579F,friday,9,1,1,1
shelbyville,14228985,friday,8,1,1,1
shelbyville,14231E8,friday,21,1,1,1
shelbyville,14283504,monday,13,1,1,1
shelbyville,142975C8,friday,21,1,1,1
shelbyville,142975C8,monday,21,1,1,1
shelbyville,14349FBD,wednesday,21,2,2,2
shelbyville,1436C33A,wednesday,8,1,1,1
shelbyville,143A3AAF,friday,14,1,1,1
shelbyville,143A3AAF,friday,20,1,1,1
shelbyville,143A3AAF,friday,21,3,3,2
shelbyville,143A3AAF,monday,14,1,1,1
shelbyville,143EB9AB,friday,9,1,1,1
shelbyville,1442051A,friday,9,1,1,1
shelbyville,1442051A,monday,14,3,3,2
shelbyville,14595136,friday,13,1,1,1
shelbyville,145AB54,monday,9,1,1,1
shelbyville,145D592C,wednesday,13,1,1,1
shelbyville,145F786,friday,20,1,1,1
shelbyville,146087D4,monday,21,1,1,1
shelbyville,14639D19,friday,14,1,1,1
shelbyville,14639D19,monday,14,1,1,1
shelbyville,1468CCFB,monday,8,1,1,1
shelbyville,14764047,monday,14,1,1,1
shelbyville,147862A3,wednesday,9,1,1,1
shelbyville,147B7B5A,friday,21,1,1,1
shelbyville,147B7B5A,monday,14,1,1,1
shelbyville,147C0CE3,wednesday,14,1,1,1
shelbyville,147D994A,wednesday,21,1,1,1
shelbyville,1480D4A5,monday,20,1,1,1
shelbyville,1480D4A5,wednesday,20,1,1,1
shelbyville,1485CB1A,wednesday,8,1,1,1
shelbyville,1493FADA,friday,20,1,1,1
shelbyville,14A96138,friday,14,1,1,1
shelbyville,14AE8471,monday,9,1,1,1
shelbyville,14B0A97A,wednesday,8,1,1,1
shelbyville,14B6371E,monday,9,1,1,1
shelbyville,14BCAE96,wednesday,9,1,1,1
shelbyville,14BE48FC,wednesday,13,1,1,1
shelbyville,14C0D772,monday,20,1,1,1
shelbyville,14C36963,friday,8,1,1,1
shelbyville,14CE608E,monday,9,1,1,1
shelbyville,14D996BB,wednesday,21,1,1,1
shelbyville,14D9E350,friday,20,1,1,1
shelbyville,14E72DDF,wednesday,14,1,1,1
shelbyville,14E82986,friday,14,1,1,1
shelbyville,14E917D2,wednesday,13,1,1,1
shelbyville,14E917D2,wednesday,14,5,5,3
shelbyville,14E9D57C,monday,13,1,1,1
shelbyville,14E9D57C,monday,14,1,1,1
shelbyville,14EC91DF,wednesday,14,1,1,1
shelbyville,14F3A5B8,monday,9,1,1,1
shelbyville,14F4BC2D,wednesday,21,1,1,1
shelbyville,14F6798D,wednesday,20,1,1,1
shelbyville,14F71B49,wednesday,20,1,1,1
shelbyville,14FBD1E5,friday,20,1,1,1
shelbyville,14FD9932,wednesday,14,1,1,1
shelbyville,1501DE38,wednesday,14,1,1,1
shelbyville,1502449C,friday,21,1,1,1
shelbyville,1502BEF8,friday,21,1,1,1
shelbyville,1505C831,friday,14,1,1,1
shelbyville,150C35ED,monday,21,2,2,2
shelbyville,150CF8CC,friday,20,1,1,1
shelbyville,151FE578,wednesday,13,1,1,1
shelbyville,151FE578,wednesday,14,1,1,1
shelbyville,1524889B,friday,20,1,1,1
shelbyville,15262850,wednesday,13,2,2,1
shelbyville,1533AC32,monday,8,1,1,1
shelbyville,153F8E50,monday,9,1,1,1
shelbyville,153FA78B,wednesday,8,1,1,1
shelbyville,15432607,friday,8,1,1,1
shelbyville,15432607,wednesday,9,1,1,1
shelbyville,154336C6,wednesday,14,1,1,1
shelbyville,15438D46,wednesday,8,1,1,1
shelbyville,1545B77C,friday,9,1,1,1
shelbyville,1557295B,friday,13,1,1,1
shelbyville,1557F7CF,friday,14,1,1,1
shelbyville,155CD4E,friday,9,1,1,1
shelbyville,1562B876,monday,13,1,1,1
shelbyville,15639906,wednesday,8,2,2,1
shelbyville,15688A22,friday,21,1,1,1
shelbyville,156C89B6,friday,21,2,2,2
shelbyville,15703E09,wednesday,21,1,1,1
shelbyville,15713F77,friday,21,1,1,1
shelbyville,15750E31,friday,9,2,2,2
shelbyville,15750E31,monday,9,1,1,1
shelbyville,15750E31,wednesday,21,2,2,2
shelbyville,1578CCC6,friday,13,1,1,1
shelbyville,157E7A2B,friday,14,1,1,1
shelbyville,15805E36,friday,9,1,1,1
shelbyville,1584BD9C,friday,21,1,1,1
shelbyville,159A6B00,wednesday,20,1,1,1
shelbyville,159CC779,wednesday,14,1,1,1
shelbyville,159E0D1C,friday,13,1,1,1
shelbyville,159E0D1C,friday,14,1,1,1
shelbyville,15C470BE,friday,20,1,1,1
shelbyville,15C7538C,friday,9,1,1,1
shelbyville,15C8AFE3,wednesday,20,1,1,1
shelbyville,15CD0ADE,friday,8,1,1,1
shelbyville,15CD0ADE,wednesday,9,1,1,1
shelbyville,15CDD101,wednesday,21,1,1,1
shelbyville,15D63281,monday,14,2,2,2
shelbyville,15D8A3AB,wednesday,9,1,1,1
shelbyville,15DDEB50,wednesday,14,1,1,1
shelbyville,15DE1F28,friday,20,1,1,1
shelbyville,15DFAF2A,friday,13,1,1,1
shelbyville,15E54416,wednesday,9,1,1,1
shelbyville,15F401B7,monday,9,1,1,1
shelbyville,15FB5486,monday,8,1,1,1
shelbyville,15FCE6F9,friday,9,1,1,1
shelbyville,160658CB,monday,9,2,2,2
shelbyville,1608BC9D,wednesday,20,1,1,1
shelbyville,1608D56A,monday,21,1,1,1
shelbyville,1616532,monday,14,1,1,1
shelbyville,16209C54,wednesday,9,3,3,3
shelbyville,162C549C,friday,13,1,1,1
shelbyville,16362B97,monday,13,1,1,1
shelbyville,16362B97,monday,14,1,1,1
shelbyville,16362B97,monday,20,1,1,1
shelbyville,16480548,monday,14,1,1,1
shelbyville,16490526,wednesday,9,1,1,1
shelbyville,16496BA3,wednesday,13,1,1,1
shelbyville,164D7CB7,friday,9,1,1,1
shelbyville,164D7CB7,wednesday,21,2,2,2
shelbyville,1655D05E,monday,21,1,1,1
shelbyville,1655D05E,wednesday,9,1,1,1
shelbyville,1658F388,wednesday,8,1,1,1
shelbyville,165CB33F,friday,21,1,1,1
shelbyville,16600952,wednesday,20,1,1,1
shelbyville,166570F9,monday,8,1,1,1
shelbyville,16667F9F,friday,9,1,1,1
shelbyville,1668804A,friday,21,1,1,1
shelbyville,1679943B,friday,9,1,1,1
shelbyville,167A264C,monday,8,1,1,1
shelbyville,167E883D,monday,13,1,1,1
shelbyville,168411FA,friday,21,1,1,1
shelbyville,1692D452,wednesday,8,1,1,1
shelbyville,16946E72,friday,20,1,1,1
shelbyville,16966E5A,friday,8,1,1,1
shelbyville,16966E5A,friday,21,1,1,1
shelbyville,169D7B03,friday,9,1,1,1
shelbyville,169EECE9,friday,14,1,1,1
shelbyville,16A83FAD,monday,13,1,1,1
shelbyville,16A83FAD,wednesday,14,1,1,1
shelbyville,16B5ABAA,friday,9,2,2,1
shelbyville,16BB5E0D,wednesday,21,1,1,1
shelbyville,16BB8DBF,monday,20,1,1,1
shelbyville,16C2F791,wednesday,20,1,1,1
shelbyville,16C451E4,wednesday,13,1,1,1
shelbyville,16C50556,wednesday,14,1,1,1
shelbyville,16C58C1B,monday,9,1,1,1
shelbyville,16CE65A3,wednesday,20,1,1,1
shelbyville,16D226A3,wednesday,20,3,3,3
shelbyville,16D5C964,monday,20,3,3,2
shelbyville,16D77FF7,monday,13,1,1,1
shelbyville,16D77FF7,wednesday,14,1,1,1
shelbyville,16DBE519,monday,20,1,1,1
shelbyville,16DC88A,wednesday,20,1,1,1
shelbyville,16DEBF2E,friday,9,1,1,1
shelbyville,16DF0147,wednesday,9,1,1,1
shelbyville,16E02C30,friday,9,1,1,1
shelbyville,16E02C30,wednesday,9,1,1,1
shelbyville,16E02C30,wednesday,20,1,1,1
shelbyville,16E15D1,friday,20,1,1,1
shelbyville,16E15D1,monday,9,1,1,1
shelbyville,16E15D1,monday,13,1,1,1
shelbyville,16EA47B1,monday,14,1,2,2
shelbyville,16EA47B1,monday,20,1,1,1
shelbyville,16EA8E24,friday,9,1,1,1
shelbyville,16ED4691,wednesday,9,1,1,1
shelbyville,16EEFD08,monday,20,1,1,1
shelbyville,16F52B18,wednesday,20,1,1,1
shelbyville,16FB0329,wednesday,20,2,2,2
shelbyville,16FD1B7D,wednesday,20,6,6,5
shelbyville,16FFAAE7,friday,8,1,1,1
shelbyville,16FFAAE7,monday,14,1,1,1
shelbyville,1703B40C,monday,13,1,1,1
shelbyville,1717399A,monday,20,1,1,1
shelbyville,171FE9CC,friday,14,2,2,2
shelbyville,172701E9,wednesday,21,1,1,1
shelbyville,1727564D,monday,13,2,2,1
shelbyville,172B0B6F,friday,20,2,2,2
shelbyville,173A416F,wednesday,21,1,1,1
shelbyville,173EC881,wednesday,20,1,1,1
shelbyville,17434E51,friday,8,1,1,1
shelbyville,1743BD29,wednesday,13,1,1,1
shelbyville,174696EC,friday,21,1,1,1
shelbyville,174A15D,wednesday,21,1,1,1
shelbyville,174D83B4,friday,13,2,2,2
shelbyville,1768BF5B,wednesday,21,1,1,1
shelbyville,176A73BE,wednesday,9,1,1,1
shelbyville,176D702C,wednesday,13,1,1,1
shelbyville,1771CA60,monday,14,1,1,1
shelbyville,177480F,friday,9,1,1,1
shelbyville,177480F,wednesday,9,2,2,2
shelbyville,177D509A,monday,9,1,1,1
shelbyville,17800D09,friday,14,1,1,1
shelbyville,17800D09,wednesday,14,1,1,1
shelbyville,1781E46,wednesday,20,1,1,1
shelbyville,17945090,friday,21,1,1,1
shelbyville,1795AA86,friday,9,1,1,1
shelbyville,17969C43,wednesday,8,1,1,1
shelbyville,179F0C82,wednesday,14,1,1,1
shelbyville,179F2923,friday,21,1,1,1
shelbyville,17A2E4EB,wednesday,13,1,1,1
shelbyville,17A95765,friday,14,1,1,1
shelbyville,17B78975,friday,20,5,5,4
shelbyville,17BD5AC8,monday,14,1,1,1
shelbyville,17C2626,monday,21,1,1,1
shelbyville,17C83E10,monday,13,1,1,1
shelbyville,17C96090,monday,14,1,1,1
shelbyville,17CC907F,wednesday,13,1,1,1
shelbyville,17D233AB,friday,21,5,5,4
shelbyville,17D4B878,wednesday,14,1,1,1
shelbyville,17DB821C,friday,13,1,1,1
shelbyville,17E5DE61,monday,14,1,1,1
shelbyville,17F21C1D,friday,20,1,1,1
shelbyville,17F32328,wednesday,21,1,1,1
shelbyville,17F52AF3,wednesday,21,1,1,1
shelbyville,17FB9EAF,monday,13,1,1,1
shelbyville,17FB9EAF,monday,14,1,1,1
shelbyville,1803AD06,wednesday,13,1,1,1
shelbyville,1808A317,friday,8,1,1,1
shelbyville,1808A317,friday,13,1,1,1
shelbyville,1808A317,friday,14,1,1,1
shelbyville,1808A317,wednesday,20,1,1,1
shelbyville,180D197E,wednesday,14,2,2,2
shelbyville,18110AA,wednesday,8,1,1,1
shelbyville,1811AAAC,monday,21,1,1,1
shelbyville,1811AAAC,wednesday,14,1,1,1
shelbyville,18132A1E,friday,21,1,1,1
shelbyville,18143EA0,friday,8,1,1,1
shelbyville,18143EA0,wednesday,21,1,1,1
shelbyville,18292598,friday,13,2,2,1
shelbyville,1829802C,monday,8,1,1,1
shelbyville,1829802C,monday,9,1,1,1
shelbyville,1832A280,friday,13,1,1,1
shelbyville,1839E7B,monday,20,2,2,2
shelbyville,183BBCD9,friday,8,1,1,1
shelbyville,183DC9FD,friday,13,1,1,1
shelbyville,183DC9FD,friday,14,1,1,1
shelbyville,183DC9FD,monday,20,1,1,1
shelbyville,183E0C4F,friday,13,1,1,1
shelbyville,1846734C,friday,14,1,1,1
shelbyville,184B6DE0,wednesday,20,1,1,1
shelbyville,185253CC,wednesday,14,1,1,1
shelbyville,1856A1FA,wednesday,14,2,2,2
shelbyville,185E33F4,monday,13,1,1,1
shelbyville,18608044,wednesday,13,2,2,1
shelbyville,1862F73A,friday,20,1,1,1
shelbyville,1865FB64,monday,14,1,1,1
shelbyville,186E125C,monday,22,1,1,1
shelbyville,186FC9E8,wednesday,14,1,1,1
shelbyville,18787E03,monday,14,1,1,1
shelbyville,187BF73D,monday,8,1,1,1
shelbyville,187DD7A4,wednesday,13,1,1,1
shelbyville,18839520,monday,14,1,1,1
shelbyville,18839520,wednesday,13,3,3,2
shelbyville,1886D8A6,monday,21,1,1,1
shelbyville,18881C6,monday,14,1,1,1
shelbyville,1888B1C9,wednesday,20,1,1,1
shelbyville,18945540,wednesday,20,1,1,1
shelbyville,18955761,monday,9,1,1,1
shelbyville,18955761,wednesday,21,1,1,1
shelbyville,18960390,wednesday,13,1,1,1
shelbyville,189CE846,friday,9,1,1,1
shelbyville,189E180E,wednesday,21,1,1,1
shelbyville,189FEEB3,friday,13,1,1,1
shelbyville,18A1CC6C,wednesday,8,1,1,1
shelbyville,18A8C518,wednesday,14,2,2,1
shelbyville,18AADC98,wednesday,20,1,1,1
shelbyville,18B3FE7D,wednesday,13,4,4,3
shelbyville,18B90E75,friday,20,2,2,1
shelbyville,18B90E75,monday,20,1,1,1
shelbyville,18B90E75,wednesday,9,1,1,1
shelbyville,18BD2F89,wednesday,8,1,1,1
shelbyville,18C31F86,friday,14,1,1,1
shelbyville,18C31F86,wednesday,13,2,2,2
shelbyville,18C612C1,wednesday,13,1,1,1
shelbyville,18C6B0CF,friday,14,1,1,1
shelbyville,18CBBF96,friday,9,1,1,1
shelbyville,18CBBF96,wednesday,21,2,2,2
shelbyville,18D411C8,friday,9,1,1,1
shelbyville,18D411C8,monday,8,1,1,1
shelbyville,18D411C8,wednesday,9,1,1,1
shelbyville,18E00C1,wednesday,13,1,1,1
shelbyville,18E100C4,friday,13,2,2,1
shelbyville,18E100C4,wednesday,20,3,3,1
shelbyville,18E264F2,monday,14,1,1,1
shelbyville,18EB6B57,wednesday,21,1,1,1
shelbyville,18ED9A06,friday,8,1,1,1
shelbyville,18ED9A06,monday,8,1,1,1
shelbyville,18F1F740,friday,14,1,1,1
shelbyville,18F87447,wednesday,8,1,1,1
shelbyville,19062FF4,wednesday,13,1,1,1
shelbyville,1910B22E,friday,20,1,1,1
shelbyville,1910B22E,wednesday,13,1,1,1
shelbyville,1917B2FC,monday,14,1,1,1
shelbyville,1923BD53,wednesday,20,2,2,2
shelbyville,192CA403,monday,14,1,1,1
shelbyville,192CA403,monday,21,1,1,1
shelbyville,192EB02C,friday,21,1,1,1
shelbyville,192EC7F4,friday,8,1,1,1
shelbyville,19303EA0,wednesday,20,1,1,1
shelbyville,193671E3,wednesday,20,1,1,1
shelbyville,1936DCB5,friday,14,1,1,1
shelbyville,1937B2C2,wednesday,13,1,1,1
shelbyville,194BD811,wednesday,21,1,1,1
shelbyville,194C0BED,friday,21,1,1,1
shelbyville,194FF00E,friday,14,1,1,1
shelbyville,194FF00E,monday,14,1,1,1
shelbyville,194FF00E,wednesday,22,1,1,1
shelbyville,19596023,monday,20,1,1,1
shelbyville,195B56DF,friday,14,1,1,1
shelbyville,195C60A4,friday,14,1,1,1
shelbyville,195D41E7,monday,8,1,1,1
shelbyville,195DC572,monday,15,1,1,1
shelbyville,19690DD4,friday,8,1,1,1
shelbyville,196A380,wednesday,9,1,1,1
shelbyville,196A83C4,friday,13,2,2,2
shelbyville,196A83C4,friday,14,2,2,2
shelbyville,196E9740,friday,9,1,1,1
shelbyville,196E9740,wednesday,20,1,1,1
shelbyville,1974C4F,wednesday,20,1,1,1
shelbyville,19779E2C,friday,9,1,1,1
shelbyville,19779E2C,friday,13,1,1,1
shelbyville,19779E2C,monday,20,1,1,1
shelbyville,19779E2C,wednesday,14,1,1,1
shelbyville,198A7717,monday,21,1,1,1
shelbyville,198FA0DF,friday,8,1,1,1
